Report generated 27 January 2026 02:19:27 PM

"Information on the Medicine Shortage Reports Database"
"The TGA publishes information about medicines in Australia that are in shortage, may shortly become subject to shortage or have been discontinued from supply. This information is based on details provided to the TGA by sponsors and is published on the TGA’s Medicine Shortage Reports Database."
"More information about medicine shortages is available at https://www.tga.gov.au/hubs/medicine-shortages."
""
"About the release of this information"
"While reasonable care is taken to ensure that the information is an accurate record of medicine shortages or discontinuations of supply that responsible entities have reported to the TGA, the TGA does not guarantee or warrant the accuracy, reliability, completeness or currency of the information (particularly as the Medicine Shortage Reports Database is subject to frequent updates because of the mandatory reporting requirements) or its usefulness in achieving any purpose."
"To the fullest extent permitted by law, including but not limited to section 61A of the Therapeutic Goods Act 1989, the TGA will not be liable for any loss, damage, cost or expense incurred in or arising by reason of any person relying on this information."

"ARTG ID","ARTG name","Active ingredients","Dosage form","Quantity of active ingredients","Sponsor","Phone","Shortage status","Supply impact start date","Supply impact end date","Deletion from market","Shortage impact rating","Availability","Reason","Management action","Last updated"
"11072","VOLTAREN diclofenac sodium 25 mg tablet","diclofenac sodium","Tablet, enteric coated","25 mg","Novartis Pharmaceuticals Australia Pty Ltd","0298053555","Discontinued",,,"13/10/2025","Low","Unavailable","Commercial Changes / Commercial viability","This product is being replaced by VOLTAREN 25 diclofenac sodium 25mg tablet blister pack ( ARTG 166496).","14/10/2025"
"11073","VOLTAREN 50 diclofenac sodium 50mg tablet bottle","diclofenac sodium","Tablet, enteric coated","50 mg","Novartis Pharmaceuticals Australia Pty Ltd","0298053555","Discontinued",,,"13/10/2025","Low","Unavailable","Commercial Changes / Commercial viability","This product is being replaced by VOLTAREN 50 diclofenac sodium 50mg tablet blister pack (ARTG 66880)","15/10/2025"
"11106","LANOXIN ADULT digoxin 500microgram/2mL injection ampoule","digoxin","Injection, solution",".25 mg/mL","Aspen Pharmacare Australia Pty Ltd","1300659646","Resolved","23/12/2025","20/01/2026",,"Medium","Available","Manufacturing","","22/01/2026"
"11133","AMOXIL SUGAR FREE SYRUP amoxicillin 125mg/5mL (as trihydrate) powder for oral liquid bottle","amoxicillin trihydrate","Oral Liquid, powder for","28.7 mg/mL","Aspen Pharmacare Australia Pty Ltd","1300659646","Discontinued",,,"5/06/2026","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","Alternative generic products are available.","6/10/2025"
"11145","BACTROBAN mupirocin 20mg/g ointment tube","mupirocin","Ointment","22 mg/g","GlaxoSmithKline Australia Pty Ltd","1800033109","Resolved","12/11/2025","14/11/2025",,"Low","Available","Unexpected increase in consumer demand","","17/11/2025"
"11175","Bridgewest CHLORHEXIDINE 0.1% irrigation solution ampoule","chlorhexidine gluconate","Solution, irrigation","30 mg","Bridgewest Perth Pharma Pty Ltd","1800161156","Current","1/07/2024","28/02/2026",,"Low","Limited Availability","Manufacturing","The sponsor is working to expedite next shipment.","28/02/2025"
"11228","INDERAL propranolol hydrochloride 10mg tablet bottle","propranolol hydrochloride","Tablet, film coated","10 mg","Atnahs Pharma Australia Pty Ltd","1800 899 005","Discontinued",,,"1/12/2025","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","This product is being replaced by INDERAL propranolol hydrochloride 10mg tablet blister pack (474025).","15/10/2025"
"11230","INDERAL propranolol hydrochloride 40mg tablet bottle","propranolol hydrochloride","Tablet, film coated","40 mg","Atnahs Pharma Australia Pty Ltd","1800 899 005","Discontinued",,,"1/12/2025","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","This product is being replaced by INDERAL propranolol hydrochloride 40mg tablet blister pack (474026).","15/10/2025"
"11231","MYSOLINE primidone 250mg tablet bottle","primidone","Tablet, uncoated","250 mg","Link Medical Products Pty Ltd T/A Link Pharmaceuticals","1800 181 060","Resolved","29/09/2025","21/11/2025",,"Medium","Available","Manufacturing","","21/11/2025"
"112368","DUROGESIC fentanyl 25 micrograms/h transdermal patch sachet","fentanyl","Drug delivery system, transdermal","4.2 mg","Janssen-Cilag Pty Ltd","1800226334","Discontinued",,,"14/04/2025","Low","Unavailable","Manufacturing","Alternative generic products are available.","26/09/2025"
"112369","DUROGESIC fentanyl 50 micrograms/h transdermal patch sachet","fentanyl","Drug delivery system, transdermal","8.4 mg","Janssen-Cilag Pty Ltd","1800226334","Discontinued",,,"14/04/2025","Low","Unavailable","Manufacturing","Alternative generic products are available.","26/09/2025"
"112370","DUROGESIC fentanyl 75 micrograms/h transdermal patch sachet","fentanyl","Drug delivery system, transdermal","12.6 mg","Janssen-Cilag Pty Ltd","1800226334","Discontinued",,,"14/04/2025","Low","Unavailable","Manufacturing","Alternative generic products are available.","26/09/2025"
"112371","DUROGESIC fentanyl 100 micrograms/h transdermal patch sachet","fentanyl","Drug delivery system, transdermal","16.8 mg","Janssen-Cilag Pty Ltd","1800226334","Discontinued",,,"14/04/2025","Low","Unavailable","Manufacturing","Alternative generic products are available.","26/09/2025"
"112603","LANTHEUS THALLIUM[201Tl] CHLORIDE 74MBq/mL injection multidose vial","thallous(201Tl) chloride","Injection, solution","74 MBq/mL","Global Medical Solutions Australia Pty Limited","95038100","Current","1/08/2021","31/12/2026",,"Medium","Unavailable","Manufacturing","An unregistered product has been approved for supply under Section 19A. The approval holder, Global Medical Solutions Australia Pty Ltd can be contacted on 02 9503 8100 for details on supply.","3/01/2024"
"11314","Pfizer (Australia) BUPIVACAINE HYDROCHLORIDE 0.25% (50mg/20mL) injection BP vial","bupivacaine hydrochloride monohydrate","Injection, solution","52.8 mg","Pfizer Australia Pty Ltd","1800-675-229","Discontinued",,,"1/08/2026","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","An alternative brand is available.","12/01/2026"
"114181","TRAMEDO tramadol hydrochloride 50mg capsule bottle","tramadol hydrochloride","Capsule","50 mg","Alphapharm Pty Ltd","1800274276","Discontinued",,,"7/04/2025","Low","Unavailable","Manufacturing","Product will be replaced by TRAMEDO tramadol hydrochloride 50mg capsule blister pack ARTG 114197","17/07/2025"
"115008","VARIVAX REFRIGERATED varicella virus vaccine live powder for  injection vial with prefilled diluent syringe","live varicella vaccine","Injection, powder for","2700 PFU/mL","Merck Sharp & Dohme (Australia) Pty Ltd","1800818553","Resolved","26/06/2025","1/01/2026",,"Critical","Available","Unexpected increase in demand due to other sponsors unable to supply","","5/01/2026"
"115556","NOXAFIL posaconazole 40mg/mL oral suspension bottle","posaconazole","Suspension","40 mg/mL","Merck Sharp & Dohme (Australia) Pty Ltd","1800 818 553","Discontinued",,,"1/07/2026","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","An alternative brand is available.","22/12/2025"
"115652","SALBUTAMOL CIPLA salbutamol 2.5mg/2.5mL (as sulfate) inhalation ampoules","salbutamol sulfate","Inhalation, conventional","3 mg","Cipla Australia Pty Ltd","0396964413","Current","30/12/2022","31/10/2026",,"Low","Unavailable","Manufacturing","An alternative brand is available.","19/12/2025"
"115657","SALBUTAMOL CIPLA salbutamol 5mg/2.5mL (as sulfate) inhalation ampoules","salbutamol sulfate","Inhalation, conventional","6 mg","Cipla Australia Pty Ltd","0396964413","Current","17/03/2025","31/03/2026",,"Low","Unavailable","Manufacturing","An overseas registered product has been approved for supply under Section 19A. See the website and search for the active ingredient: https://www.tga.gov.au/resources/section-19a-approvals","27/01/2026"
"116623","SETRONA sertraline (as hydrochloride) 50 mg tablet blister pack","sertraline hydrochloride","Tablet, film coated","55.96 mg","Sun Pharma ANZ Pty Ltd","0298872600","Resolved","21/09/2025","17/11/2025",,"Low","Available","Manufacturing","","19/11/2025"
"116828","DUROGESIC fentanyl 12 micrograms/h transdermal patch sachet","fentanyl","Drug delivery system, transdermal","2.1 mg","Janssen-Cilag Pty Ltd","1800226334","Discontinued",,,"14/04/2025","Low","Unavailable","Manufacturing","Alternative generic products are available.","26/09/2025"
"117865","PHENYTOIN JUNO (phenytoin sodium) 250mg/ 5mL injection ampoule","phenytoin sodium","Injection, solution","250 mg","Juno Pharmaceuticals Pty Ltd","0388881288","Current","17/11/2025","31/12/2026",,"Critical","Unavailable","Manufacturing","Overseas registered products have been approved for supply under Section 19A. See the website and search for the active ingredient: https://www.tga.gov.au/resources/section-19a-approvals","4/12/2025"
"117872","PHENYTOIN JUNO (phenytoin sodium) 100mg/ 2mL injection ampoule","phenytoin sodium","Injection, solution","100 mg","Juno Pharmaceuticals Pty Ltd","0388881288","Current","15/10/2025","31/12/2026",,"Critical","Unavailable","Manufacturing","Overseas registered products have been approved for supply under Section 19A. See the website and search for the active ingredient: https://www.tga.gov.au/resources/section-19a-approvals","4/12/2025"
"118938","PROVIVE 1% propofol 200mg/20mL emulsion for injection vial","propofol","Injection, emulsion","200 mg","Baxter Healthcare Pty Ltd","1300302409","Discontinued",,,"31/12/2025","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","Alternative presentations and brands available.","4/08/2025"
"118939","PROVIVE 1% propofol 500mg/50mL emulsion for injection vial","propofol","Injection, emulsion","500 mg","Baxter Healthcare Pty Ltd","1300302409","Discontinued",,,"30/04/2026","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","Alternative presentations and brands available.","14/08/2025"
"118940","PROVIVE 1% propofol 1000mg/100mL emulsion for injection vial","propofol","Injection, emulsion","1000 mg","Baxter Healthcare Pty Ltd","1300302409","Discontinued",,,"30/04/2026","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","Alternative presentations and brands available.","15/08/2025"
"11937","MARCAIN 0.5% bupivacaine hydrochloride (as monohydrate) 50mg/10mL injection ampoule","bupivacaine hydrochloride","Injection, solution","5 mg/mL","Aspen Pharmacare Australia Pty Ltd","1300659646","Current","23/12/2025","27/01/2026",,"Medium","Unavailable","Manufacturing","Alternative brands are available. Alternative strengths are also available.","15/01/2026"
"11953","MARCAIN 0.25% EPIDURAL INFUSION bupivacaine hydrochloride (as monohydrate) 250mg/100mL injection bag","bupivacaine hydrochloride","Injection, solution","2.5 mg/mL","Aspen Pharmacare Australia Pty Ltd","1300659646","Discontinued",,,"1/05/2025","Medium","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","An alternative presentation is available","20/06/2025"
"12026","Xylocaine 2% JELLY tube","lidocaine hydrochloride","Gel","20 mg/g","Aspen Pharmacare Australia Pty Ltd","1300659646","Anticipated","9/04/2026","29/07/2026",,"Low","Available","Manufacturing","Sponsor is working to expedite the next shipment.","21/01/2026"
"120271","GABITRIL tiagabine (as hydrochloride monohydrate) 5mg tablet bottle","tiagabine hydrochloride monohydrate","Tablet, film coated","5.73 mg","Teva Pharma Australia Pty Ltd","1800 288 382","Discontinued",,,"30/03/2027","Critical","Reduction in supply until supply is exhausted","Manufacturing","Patients are advised to consult their healthcare professional to discuss alternative treatment options.","24/06/2025"
"120272","GABITRIL tiagabine (as hydrochloride monohydrate) 10mg tablet bottle","tiagabine hydrochloride monohydrate","Tablet, film coated","11.5 mg","Teva Pharma Australia Pty Ltd","1800 288 382","Discontinued",,,"30/07/2027","Critical","Reduction in supply until supply is exhausted","Manufacturing","Patients are advised to consult their healthcare professional to discuss alternative treatment options.","24/06/2025"
"120273","GABITRIL tiagabine (as hydrochloride monohydrate) 15mg tablet bottle","tiagabine hydrochloride monohydrate","Tablet, film coated","17.2 mg","Teva Pharma Australia Pty Ltd","1800 288 382","Discontinued",,,"30/09/2026","Critical","Reduction in supply until supply is exhausted","Manufacturing","Patients are advised to consult their healthcare professional to discuss alternative treatment options.","24/06/2025"
"12036","XYLOCARD 500 lidocaine (lignocaine) hydrochloride 500mg/5mL injection ampoule","lidocaine hydrochloride","Injection, concentrated","100 mg/mL","Aspen Pharmacare Australia Pty Ltd","1300659646","Anticipated","2/03/2026","13/04/2026",,"Medium","Available","Manufacturing","Sponsor is working to expedite the next shipment.","19/01/2026"
"120544","CEFTAZIDIME JUNO ceftazidime (as pentahydrate) 2g powder for injection vial","ceftazidime pentahydrate","Injection, powder for","2.328 g","Juno Pharmaceuticals Pty Ltd","0388881288","Discontinued",,,"30/09/2025","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","Alternative generic products are available.","15/05/2025"
"12063","BETALOC Metoprolol tartrate 5mg/5mL injection ampoule","metoprolol tartrate","Injection, solution","1 mg/mL","AstraZeneca Pty Ltd","1800805342","Discontinued",,,"31/12/2026","Critical","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","An alternative brand is available.","24/12/2025"
"12068","BRICANYL terbutaline sulfate 0.5 mg/1mL injection ampoule","terbutaline sulfate","Injection, solution",".5 mg/mL","AstraZeneca Pty Ltd","1800805342","Resolved","21/12/2025","21/12/2025",,"Medium","Available","Manufacturing","","23/12/2025"
"121503","DBL ACETYLCYSTEINE injection concentrate acetylcysteine 2 g/ 10 mL injection ampoule","acetylcysteine","Injection, concentrated","2 g","Pfizer Australia Pty Ltd","1800-675-229","Current","6/10/2025","31/03/2026",,"Low","Limited Availability","Manufacturing","An alternative brand is available.","13/01/2026"
"121781","GLIMEPIRIDE SANDOZ glimepiride 1mg tablet blister pack","glimepiride","Tablet, uncoated","1 mg","Sandoz Pty Ltd","1800726369","Current","21/08/2025","16/02/2026",,"Low","Unavailable","Manufacturing","Alternative brands are available. Sponsor is working to expedite the next shipment.","17/11/2025"
"121786","GLIMEPIRIDE SANDOZ glimepiride 2 mg tablet blister pack","glimepiride","Tablet, uncoated","2 mg","Sandoz Pty Ltd","1800726369","Current","18/12/2025","10/02/2026",,"Low","Unavailable","Manufacturing","Alternative brands are available.","22/12/2025"
"122788","VALETTE ethinyloestradiol/dienogest tablet blister pack","dienogest~ethinylestradiol","Tablet, sugar coated","2 mg~.03 mg","Bayer Australia Ltd","1800 008757","Discontinued",,,"31/12/2025","Low","Reduction in supply until supply is exhausted","Manufacturing","Patients are advised to consult their health professional to discuss alternative treatment options.","11/11/2025"
"12281","LINCOCIN lincomycin 600 mg/2 mL (as hydrochloride) injection vial","lincomycin hydrochloride monohydrate","Injection, solution","340.26 mg/mL","Pfizer Australia Pty Ltd","1800-675-229","Discontinued",,,"1/09/2025","Low","Unavailable","Commercial Changes / Commercial viability","An alternative brand is available.","29/08/2025"
"12294","DALACIN C clindamycin 300mg/2mL (as phosphate) injection ampoule","clindamycin phosphate","Injection, solution","0 QS","Pfizer Australia Pty Ltd","1800-675-229","Anticipated","9/02/2026","27/02/2026",,"Low","Available","Manufacturing","An alternative brand is available. Sponsor is closely controlling the supply.","12/12/2025"
"12309","LONITEN minoxidil 10mg tablet bottle","minoxidil","Tablet, uncoated","10 mg","Pfizer Australia Pty Ltd","1800675229","Resolved","18/11/2025","18/12/2025",,"Medium","Available","Manufacturing","","22/12/2025"
"123192","CAMBIA diclofenac potassium 50 mg powder for oral liquid sachet","diclofenac potassium","Oral Liquid, powder for","50 mg","Southern XP IP Pty Ltd","03 70678510","Discontinued",,,"31/12/2025","Low","Unavailable","Commercial Changes / Commercial viability","Alternative presentations are available.","6/01/2026"
"12344","SOLU-MEDROL methylprednisolone (as sodium succinate) 500mg powder for injection vial with diluent vial","methylprednisolone sodium succinate","Injection, powder for","663.13 mg","Pfizer Australia Pty Ltd","1800-675-229","Anticipated","9/03/2026","31/03/2026",,"Low","Available","Manufacturing","Other strengths are available","4/12/2025"
"124245","ACTACODE codeine linctus oral liquid bottle","codeine phosphate hemihydrate","Oral Liquid, solution","5 mg/mL","Arrotex Pharmaceuticals Pty Ltd","1800 195 055","Current","11/09/2025","27/03/2026",,"Low","Unavailable","Manufacturing","The sponsor is working to expedite the next shipment","22/01/2026"
"124502","CONCERTA methylphenidate hydrochloride 27mg modified release tablet bottle","methylphenidate hydrochloride","Tablet, modified release","27 mg","Janssen-Cilag Pty Ltd","1800226334","Current","19/12/2024","31/12/2026",,"Medium","Limited Availability","Manufacturing","Patients are advised to consult their healthcare professional to discuss their options.Unregistered products have been approved for supply under Section 19A. See the website and search for the active ingredient: https://www.tga.gov.au/resources/section-19a-approvals. An updated TGA web statement is available at https://www.tga.gov.au/safety/shortages/information-about-major-medicine-shortages/about-shortage-methylphenidate-hydrochloride-products.","17/07/2025"
"124855","SERTRALINE GENERICHEALTH sertraline 50mg (as hydrochloride) tablet blister pack","sertraline hydrochloride","Tablet, film coated","56 mg","Generic Health Pty Ltd","03 9809 7900","Discontinued",,,"12/09/2025","Low","Unavailable","Commercial Changes / Commercial viability","Alternative brands are available.","22/09/2025"
"124856","SERTRALINE GENERICHEALTH sertraline 100mg (as hydrochloride) tablet blister pack","sertraline hydrochloride","Tablet, film coated","112 mg","Generic Health Pty Ltd","03 9809 7900","Discontinued",,,"12/09/2025","Low","Unavailable","Commercial Changes / Commercial viability","Alternative generic products are available.","22/09/2025"
"124940","CHAMPIX varenicline (as tartrate) 0.5 mg and 1.0 mg tablet blister pack","varenicline tartrate~varenicline tartrate","Tablet, film coated","1.71 mg~.85 mg","Pfizer Australia Pty Ltd","1800 675 229","Discontinued",,,"1/11/2025","Medium","Unavailable","Manufacturing","Alternative generic products are available.","22/09/2025"
"124941","CHAMPIX varenicline (as tartrate) 1.0 mg tablet blister pack","varenicline tartrate","Tablet, film coated","1.71 mg","Pfizer Australia Pty Ltd","1800675229","Discontinued",,,"1/11/2025","Medium","Unavailable","Manufacturing","Alternative generic products are available.","22/09/2025"
"12534","VENTOLIN NEBULES salbutamol 5mg/2.5mL (as sulfate) inhalation solution ampoule","salbutamol sulfate","Inhalation","2.4 mg/mL","GlaxoSmithKline Australia Pty Ltd","1800033109","Current","2/12/2025","15/06/2026",,"Low","Limited Availability","Unexpected increase in demand due to other sponsors unable to supply","An overseas registered product has been approved for supply under Section 19A. See the website and search for the active ingredient: https://www.tga.gov.au/resources/section-19a-approvals","27/01/2026"
